instance of (P31),1230815,99.23
date of birth (P569),954418,76.94
sex or gender (P21),926440,74.69
occupation (P106),850390,68.56
given name (P735),820048,66.11
country of citizenship (P27),721963,58.2
place of birth (P19),629480,50.75
date of death (P570),565042,45.55
family name (P734),462454,37.28
image (P18),411152,33.15
languages spoken, written or signed (P1412),362998,29.26
educated at (P69),329204,26.54
place of death (P20),325131,26.21
Commons category (P373),322086,25.97
employer (P108),203513,16.41
country (P17),182152,14.68
award received (P166),176338,14.22
official website (P856),171954,13.86
name in native language (P1559),155254,12.52
described by source (P1343),142504,11.49
located in the administrative territorial entity (P131),134214,10.82
coordinate location (P625),131643,10.61
inception (P571),106260,8.57
position held (P39),100327,8.09
member of (P463),97798,7.88
topic's main category (P910),91332,7.36
work location (P937),71740,5.78
work period (start) (P2031),71040,5.73
place of burial (P119),68087,5.49
political party (P102),67454,5.44
genre (P136),64027,5.16
spouse (P26),62593,5.05
religion (P140),58179,4.69
field of work (P101),56425,4.55
father (P22),55124,4.44
instrument (P1303),54897,4.43
child (P40),52015,4.19
area (P2046),49734,4.01
copyright status as a creator (P7763),47146,3.8
cause of death (P509),46467,3.75
population (P1082),45075,3.63
postal code (P281),45054,3.63
elevation above sea level (P2044),44694,3.6
locator map image (P242),39685,3.2
birth name (P1477),38864,3.13
sibling (P3373),38588,3.11
manner of death (P1196),36442,2.94
writing language (P6886),36071,2.91
native language (P103),34301,2.77
located in time zone (P421),33341,2.69
academic degree (P512),31334,2.53
headquarters location (P159),31195,2.51
name in kana (P1814),30810,2.48
different from (P1889),30189,2.43
has works in the collection (P6379),29917,2.41
mother (P25),27856,2.25
conflict (P607),24901,2.01
ethnic group (P172),24853,2.0
Commons gallery (P935),24178,1.95
coat of arms image (P94),24173,1.95
local dialing code (P473),23987,1.93
Commons Creator page (P1472),23845,1.92
residence (P551),23800,1.92
part of (P361),23723,1.91
notable work (P800),23080,1.86
record label (P264),21634,1.74
doctoral advisor (P184),21584,1.74
shares border with (P47),21519,1.73
sport (P641),19711,1.59
military branch (P241),18515,1.49
official name (P1448),18041,1.45
country of origin (P495),17999,1.45
copyright representative (P6275),17335,1.4
image of grave (P1442),17195,1.39
military rank (P410),16752,1.35
archives at (P485),16169,1.3
student of (P1066),16110,1.3
pseudonym (P742),15345,1.24
category for people born here (P1464),15134,1.22
on focus list of Wikimedia project (P5008),14822,1.19
doctoral student (P185),14784,1.19
native label (P1705),14741,1.19
category of associated people (P1792),14592,1.18
participant in (P1344),14480,1.17
capital of (P1376),13962,1.13
subclass of (P279),13462,1.09
named after (P138),13405,1.08
location (P276),12717,1.03
described at URL (P973),12500,1.01
nominated for (P1411),12440,1.0
logo image (P154),12316,0.99
heritage designation (P1435),12251,0.99
has part (P527),12246,0.99
signature (P109),12034,0.97
movement (P135),12000,0.97
student (P802),11789,0.95
street address (P6375),11159,0.9
capital (P36),10632,0.86
page banner (P948),10186,0.82
family (P53),10111,0.82
legal form (P1454),10024,0.81
founded by (P112),9754,0.79
flag image (P41),9409,0.76
